id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
73,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
74,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
75,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
76,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
77,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
78,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
79,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
80,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
81,Quel instrument mesure la pression atmosphérique ? (v15),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
82,Combien y a-t-il de jours dans une année bissextile ? (v15),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
83,Quel est l'organe principal de la respiration chez l'homme ? (v15),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
84,Quelle langue est majoritairement parlée au Brésil ? (v15),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
85,Qui a peint la 'Joconde' ? (v15),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
86,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
87,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
88,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
89,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
90,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
91,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
92,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
93,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
94,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
95,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
96,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
97,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
98,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
99,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
100,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
101,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
102,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
103,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
104,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
105,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
106,Quel instrument mesure la pression atmosphérique ? (v20),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
107,Combien y a-t-il de jours dans une année bissextile ? (v20),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
108,Quel est l'organe principal de la respiration chez l'homme ? (v20),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
109,Quelle langue est majoritairement parlée au Brésil ? (v20),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
110,Qui a peint la 'Joconde' ? (v20),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
111,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
112,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
113,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
114,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
115,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
116,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
117,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
118,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
119,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
120,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
121,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
122,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
123,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
124,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
125,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
126,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
127,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
128,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
129,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
130,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
131,Quel instrument mesure la pression atmosphérique ? (v25),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
132,Combien y a-t-il de jours dans une année bissextile ? (v25),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
133,Quel est l'organe principal de la respiration chez l'homme ? (v25),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
134,Quelle langue est majoritairement parlée au Brésil ? (v25),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
135,Qui a peint la 'Joconde' ? (v25),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
136,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
137,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
138,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
139,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
140,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
141,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
142,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
143,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
144,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
145,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
146,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
147,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
148,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
149,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
150,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
151,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
152,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
153,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
154,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
155,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
156,Quel instrument mesure la pression atmosphérique ? (v30),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
157,Combien y a-t-il de jours dans une année bissextile ? (v30),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
158,Quel est l'organe principal de la respiration chez l'homme ? (v30),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
159,Quelle langue est majoritairement parlée au Brésil ? (v30),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
160,Qui a peint la 'Joconde' ? (v30),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
161,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
162,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
163,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
164,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
165,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
166,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
167,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
168,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
169,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
170,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
171,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
172,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
173,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
174,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
175,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
176,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
177,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
178,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
179,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
180,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
181,Quel instrument mesure la pression atmosphérique ? (v35),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
182,Combien y a-t-il de jours dans une année bissextile ? (v35),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
183,Quel est l'organe principal de la respiration chez l'homme ? (v35),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
184,Quelle langue est majoritairement parlée au Brésil ? (v35),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
185,Qui a peint la 'Joconde' ? (v35),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
186,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
187,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
188,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
189,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
190,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
191,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
192,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
193,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
194,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
195,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
196,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
197,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
198,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
